Filename,Speaker,Task,Sex,Ethnicity,Generation,Word,Vowel,Preceding.Phone,Following.Phone,Begin.Time..s.,End.Time..s.,Duration..ms.,F0.20.,F0.35.,F0.50.,F0.65.,F0.80.,F1.20.,F1.35.,F1.50.,F1.65.,F1.80.,F1.100.,F2.20.,F2.35.,F2.50.,F2.65.,F2.80.,F3.20.,F3.35.,F3.50.,F3.65.,F3.80.,Intensity.20.,Intensity.35.,Intensity.50.,Intensity.65.,Intensity.80.,Notes,Analyst,Date,Settings,Praat.Version,OS,uuid,Speaker.Vowel,md,Is.outlier.001,Is.outlier.025
YS44NF2G_CS,YS44NF2G,conversation,F,Yakama,2,had,æ,h,d,249.932,249.962,30,132.5442419,--undefined--,--undefined--,--undefined--,--undefined--,1439.067459,1584.799034,1685.564982,1491.22038,1296.875778,1290.285163,2248.355631,2500.816771,2679.640497,2375.180012,2070.719528,3325.438206,3515.944124,3656.640961,3470.439541,3284.238122,59.38040726,58.23081648,56.99626111,55.75587955,54.96428177,,ABW,Sun Nov 29 21:22:50 2020,"Max formant: 5500 Hz, Number of formants: 5, Pitch range: 50-500 Hz, Window length: 0.025 s",6.1.16,OSX,YS44NF2G_CS249_932,YS44NF2Gæ,53.045887906134254,TRUE,TRUE
YS44NF2G_CS,YS44NF2G,conversation,F,Yakama,2,had,æ,h,d,250.842,250.932,90,141.1879506,139.5989693,139.2729944,139.8892032,139.5851768,245.2788622,444.7492339,496.5694251,643.4912053,635.6800894,582.391071,1873.121178,1802.55241,1735.369581,1821.109321,1865.80279,2561.380793,2371.308635,2544.770567,2790.480764,2957.908825,61.42443368,60.14488749,59.69671947,59.86657711,59.65255725,,ABW,Sun Nov 29 21:22:50 2020,"Max formant: 5500 Hz, Number of formants: 5, Pitch range: 50-500 Hz, Window length: 0.025 s",6.1.16,OSX,YS44NF2G_CS250_842,YS44NF2Gæ,29.780747546161546,TRUE,TRUE
YS44NF2G_CS,YS44NF2G,conversation,F,Yakama,2,good,ʊ,g,d,1278.417586,1278.557962,140.3757339,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,295.7787642,359.3744418,284.3733336,260.5005199,266.9519957,304.4996231,1981.440611,2052.065153,1959.817589,1910.881734,1906.033072,2509.365268,2486.77313,2571.964839,2648.392198,2802.886163,54.82662249,54.93505827,57.14405498,57.18603725,57.52999515,,ABW,Sun Nov 29 21:22:50 2020,"Max formant: 5500 Hz, Number of formants: 5, Pitch range: 50-500 Hz, Window length: 0.025 s",6.1.16,OSX,YS44NF2G_CS1278_417586,YS44NF2Gʊ,50.97412941058722,TRUE,TRUE
YS44NF2G_CS,YS44NF2G,conversation,F,Yakama,2,good,ʊ,g,d,1323.244466,1323.35689,112.4234543,--undefined--,--undefined--,--undefined--,--undefined--,--undefined--,379.0361855,364.5560606,343.7568738,368.095178,310.6536792,351.8247228,2009.32032,2010.819221,1941.715724,1911.574078,1874.184184,2844.773801,2946.784379,2754.462828,2964.347806,3025.528273,55.54583205,54.5941053,54.8589912,56.23074474,57.16849694,,ABW,Sun Nov 29 21:22:50 2020,"Max formant: 5500 Hz, Number of formants: 5, Pitch range: 50-500 Hz, Window length: 0.025 s",6.1.16,OSX,YS44NF2G_CS1323_244466,YS44NF2Gʊ,20.590312384000114,TRUE,TRUE
YS44NF2G_CS,YS44NF2G,conversation,F,Yakama,2,full,ʊ,f,l,1868.691927,1868.881143,189.2154313,59.89802221,61.07546342,61.49142548,60.90093628,58.77850316,440.2158041,429.7101096,381.3734052,408.8867027,474.4498321,519.7060294,1151.167553,1011.000177,1027.593245,970.9794223,1118.572113,2949.394713,2926.436375,3045.18648,2854.033949,2670.09126,62.94043818,64.44581414,65.89024008,65.61445965,64.4705415,,ABW,Sun Nov 29 21:22:50 2020,"Max formant: 5500 Hz, Number of formants: 5, Pitch range: 50-500 Hz, Window length: 0.025 s",6.1.16,OSX,YS44NF2G_CS1868_691927,YS44NF2Gʊ,33.84969392704216,TRUE,TRUE
YS44NF2G_WL,YS44NF2G,wordlist,F,Yakama,2,hut,ʌ,h,t,500.5189827,500.6223313,103.3485687,138.1097125,139.3140351,--undefined--,--undefined--,--undefined--,309.1970667,576.5909035,679.5429739,646.4499474,680.9327929,665.4869127,1718.76307,1715.1066,1723.534916,1746.248426,1740.287173,3161.302119,2829.6834,2826.920199,2906.862989,3004.307448,65.98830592,63.0518819,59.97980081,58.17899722,56.00857469,,ABW,Sun Nov 29 21:22:50 2020,"Max formant: 5500 Hz, Number of formants: 5, Pitch range: 50-500 Hz, Window length: 0.025 s",6.1.16,OSX,YS44NF2G_WL500_5189827,YS44NF2Gʌ,60.58213248945038,TRUE,TRUE
YS44NF2G_WL,YS44NF2G,wordlist,F,Yakama,2,push,ʊ,p,ʃ,556.3489483,556.4341811,85.23287133,--undefined--,145.4295493,147.7184743,149.7632237,146.7019857,340.783407,388.8356601,332.1944282,318.1815802,298.5949886,243.8452171,1406.465551,1429.029184,1428.797271,1489.902232,1453.688464,2956.110939,3086.454394,3134.555538,3080.678626,3033.535568,62.42324026,63.24236734,64.26781792,63.97482376,63.1447814,,ABW,Sun Nov 29 21:22:50 2020,"Max formant: 5500 Hz, Number of formants: 5, Pitch range: 50-500 Hz, Window length: 0.025 s",6.1.16,OSX,YS44NF2G_WL556_3489483,YS44NF2Gʊ,28.438651229220625,TRUE,TRUE
YS44NF2G_WL,YS44NF2G,wordlist,F,Yakama,2,full,ʊl,f,t,567.2446208,567.4156463,171.0254704,137.3275666,136.6668275,134.9386409,135.6280488,133.7529155,371.1358335,619.0363395,860.5826388,291.1987091,295.7698041,305.1145696,1157.860895,2051.872678,2895.088897,1046.507052,1332.103016,2879.263943,3738.15149,4241.333898,2786.950254,2995.858348,61.20143447,61.11119136,62.93281569,63.80838661,63.16976325,,ABW,Sun Nov 29 21:22:50 2020,"Max formant: 5500 Hz, Number of formants: 5, Pitch range: 50-500 Hz, Window length: 0.025 s",6.1.16,OSX,YS44NF2G_WL567_2446208,YS44NF2Gʊl,67.0541696077283,TRUE,TRUE
YS44NF2G_WL,YS44NF2G,wordlist,F,Yakama,2,hut,ʌ,h,t,896.5087113,896.5951321,86.42078591,139.8066068,139.3963735,138.3875257,137.4586984,136.3424536,393.1574731,616.2195301,724.1513468,646.0643305,557.4004297,592.3560578,1761.321872,1792.362539,1777.33218,1810.807277,2001.877849,2829.033116,2752.856616,2747.48929,2751.915641,2764.658919,65.62555524,64.81337249,63.40126418,61.11524779,58.82377757,,ABW,Sun Nov 29 21:22:50 2020,"Max formant: 5500 Hz, Number of formants: 5, Pitch range: 50-500 Hz, Window length: 0.025 s",6.1.16,OSX,YS44NF2G_WL896_5087113,YS44NF2Gʌ,70.27819350822685,TRUE,TRUE
YS44NF2G_WL,YS44NF2G,wordlist,F,Yakama,2,com,ɑ,k,m,976.5657596,976.7653061,199.546485,140.2823672,136.961327,138.5960693,138.6519049,137.2539311,278.075283,153.7037653,1275.526931,273.7345988,260.4295798,256.9669384,1280.275139,1311.160872,2109.803123,1222.757772,1172.799213,2876.338533,2712.274217,3156.038704,2606.797144,2834.757117,65.03758017,65.95112661,67.14253058,67.80608838,65.68787844,,ABW,Sun Nov 29 21:22:50 2020,"Max formant: 5500 Hz, Number of formants: 5, Pitch range: 50-500 Hz, Window length: 0.025 s",6.1.16,OSX,YS44NF2G_WL976_5657596,YS44NF2Gɑ,160.20498538361016,TRUE,TRUE
